Date received,Product,Sub-product,Issue,Company,State,ZIP code,Tags,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Processing Days
2012-03-27,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",OCWEN LOAN SERVICING LLC,MA,1201.0,,Referral,4/10/12,Closed with explanation,Yes,Yes,41927,14 days 00:00:00.000000000
2012-03-06,Mortgage,Other mortgage,"Application, originator, mortgage broker",WELLS FARGO & COMPANY,CA,93215.0,,Referral,3/06/12,Closed without relief,Yes,No,29334,0 days 00:00:00.000000000
2012-03-21,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",HSBC NORTH AMERICA HOLDINGS INC.,NY,10003.0,,Referral,3/22/12,Closed without relief,Yes,Yes,39698,1 days 00:00:00.000000000
2012-03-05,Credit card,,APR or interest rate,BARCLAYS BANK DELAWARE,KY,41522.0,,Web,3/07/12,Closed with relief,Yes,No,30294,2 days 00:00:00.000000000
2012-03-29,Credit card,,Identity theft / Fraud / Embezzlement,JPMORGAN CHASE & CO.,NC,27405.0,,Postal mail,4/02/12,Closed without relief,Yes,No,42714,4 days 00:00:00.000000000
2012-03-06,Credit card,,Other,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91943.0,Older American,Web,3/07/12,Closed without relief,Yes,No,31211,1 days 00:00:00.000000000
2012-04-03,Credit card,,Late fee,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,90291.0,,Referral,4/05/12,Closed with relief,Yes,No,40742,
2012-03-26,Credit card,,Convenience checks,JPMORGAN CHASE & CO.,PA,15074.0,,Referral,3/26/12,Closed with relief,Yes,No,41071,0 days 00:00:00.000000000
2012-03-21,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure","SUNTRUST BANKS, INC.",GA,30248.0,,Referral,3/22/12,Closed with relief,Yes,No,39783,1 days 00:00:00.000000000
2012-03-08,Bank account or service,Checking account,"Account opening, closing, or management",U.S. BANCORP,ID,83702.0,,Web,3/09/12,Closed without relief,Yes,No,32065,1 days 00:00:00.000000000
2012-03-21,Bank account or service,Savings account,Deposits and withdrawals,"CITIBANK, N.A.",NY,11434.0,,Referral,3/22/12,Closed with relief,Yes,No,17789,1 days 00:00:00.000000000
2012-03-06,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,NC,27282.0,,Phone,3/23/12,Closed without relief,Yes,Yes,30594,17 days 00:00:00.000000000
2012-03-07,Mortgage,Other mortgage,"Application, originator, mortgage broker","BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30106.0,,Referral,3/12/12,Closed without relief,Yes,No,31423,5 days 00:00:00.000000000
2012-03-18,Credit card,,Credit line increase/decrease,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92692.0,,Web,3/19/12,Closed without relief,Yes,No,19105,1 days 00:00:00.000000000
2012-05-17,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",JPMORGAN CHASE & CO.,CA,95212.0,,Postal mail,5/24/12,Closed with explanation,Yes,Yes,82540,7 days 00:00:00.000000000
2012-03-08,Student loan,Non-federal student loan,Repaying your loan,"Navient Solutions, LLC.",KY,41072.0,,Web,3/16/12,Closed without relief,Yes,Yes,32135,8 days 00:00:00.000000000
2012-03-23,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",WELLS FARGO & COMPANY,MI,48036.0,,Web,3/28/12,Closed without relief,Yes,No,40492,5 days 00:00:00.000000000
2012-03-26,Mortgage,Other mortgage,"Loan servicing, payments, escrow account","BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92223.0,,Referral,3/26/12,Closed without relief,Yes,No,41135,0 days 00:00:00.000000000
2012-03-14,Bank account or service,Checking account,"Account opening, closing, or management","SANTANDER BANK, NATIONAL ASSOCIATION",MA,2492.0,,Referral,3/16/12,Closed with relief,Yes,No,35252,2 days 00:00:00.000000000
2012-03-14,Credit card,,Identity theft / Fraud / Embezzlement,DISCOVER BANK,GA,30066.0,,Referral,3/16/12,Closed without relief,Yes,No,17573,2 days 00:00:00.000000000
2012-03-13,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,MI,48021.0,,Web,3/23/12,Closed without relief,Yes,No,34302,10 days 00:00:00.000000000
2012-03-26,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",OCWEN LOAN SERVICING LLC,LA,70058.0,,Web,3/27/12,Closed without relief,Yes,No,23650,1 days 00:00:00.000000000
2012-03-05,Bank account or service,Checking account,"Account opening, closing, or management",PNC Bank N.A.,PA,18507.0,,Web,3/06/12,Closed with relief,Yes,No,30136,1 days 00:00:00.000000000
2012-03-02,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",WELLS FARGO & COMPANY,MD,21214.0,,Web,4/06/12,Closed with explanation,Yes,Yes,29462,35 days 00:00:00.000000000
2012-03-27,Credit card,,Payoff process,WELLS FARGO & COMPANY,VA,22485.0,Older American,Referral,3/29/12,Closed without relief,Yes,No,41435,2 days 00:00:00.000000000
2012-03-09,Credit card,,Transaction issue,"CITIBANK, N.A.",IL,62450.0,,Referral,3/12/12,Closed without relief,Yes,No,33086,3 days 00:00:00.000000000
2012-03-02,Credit card,,Billing disputes,DISCOVER BANK,CO,80906.0,,Web,3/02/12,Closed without relief,Yes,No,29259,0 days 00:00:00.000000000
2012-03-09,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure","CITIBANK, N.A.",MI,48301.0,,Web,3/09/12,Closed with explanation,No,No,32809,0 days 00:00:00.000000000
2012-03-15,Student loan,Non-federal student loan,Repaying your loan,"Navient Solutions, LLC.",MA,2132.0,,Web,3/16/12,Closed without relief,Yes,No,35952,1 days 00:00:00.000000000
2012-03-01,Bank account or service,Cashing a check without an account,"Account opening, closing, or management","BANK OF AMERICA, NATIONAL ASSOCIATION",MO,64440.0,,Web,3/01/12,Closed without relief,Yes,No,28901,0 days 00:00:00.000000000
2012-03-01,Bank account or service,Checking account,Problems caused by my funds being low,JPMORGAN CHASE & CO.,CA,93534.0,,Web,3/02/12,Closed without relief,Yes,No,29082,1 days 00:00:00.000000000
2012-03-26,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure","MUFG UNION BANK, NATIONAL ASSOCIATION",CA,92703.0,,Web,3/27/12,Closed without relief,Yes,No,41253,1 days 00:00:00.000000000
2012-03-05,Mortgage,Other mortgage,"Loan servicing, payments, escrow account","CITIBANK, N.A.",VA,23139.0,,Referral,3/05/12,Closed without relief,Yes,No,30279,0 days 00:00:00.000000000
2012-02-28,Credit card,,Billing disputes,CAPITAL ONE FINANCIAL CORPORATION,PA,19148.0,,Referral,3/01/12,Closed without relief,Yes,Yes,28727,
2012-03-02,Credit card,,Transaction issue,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,2631.0,Older American,Web,3/06/12,Closed with relief,Yes,No,29659,4 days 00:00:00.000000000
2012-03-05,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","BANK OF AMERICA, NATIONAL ASSOCIATION",TX,77581.0,,Referral,3/06/12,Closed without relief,Yes,No,30623,1 days 00:00:00.000000000
2012-03-22,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",CAPITAL ONE FINANCIAL CORPORATION,NJ,7105.0,,Referral,3/23/12,Closed with relief,Yes,No,38983,1 days 00:00:00.000000000
2012-03-15,Bank account or service,Checking account,Deposits and withdrawals,"MUFG UNION BANK, NATIONAL ASSOCIATION",CA,92046.0,,Referral,3/21/12,Closed without relief,Yes,Yes,17633,6 days 00:00:00.000000000
2012-03-15,Bank account or service,Checking account,"Account opening, closing, or management",WELLS FARGO & COMPANY,FL,32258.0,,Referral,3/20/12,Closed without relief,Yes,Yes,17654,5 days 00:00:00.000000000
2012-03-27,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure","BANK OF AMERICA, NATIONAL ASSOCIATION",VA,22401.0,,Web,3/28/12,Closed without relief,Yes,Yes,41429,1 days 00:00:00.000000000
2012-05-10,Bank account or service,Savings account,"Account opening, closing, or management",BOK FINANCIAL CORP,NM,87112.0,,Referral,7/02/12,Closed with explanation,Yes,No,38632,53 days 00:00:00.000000000
2012-01-04,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",U.S. BANCORP,FL,32073.0,,Web,1/06/12,Closed without relief,Yes,Yes,9426,2 days 00:00:00.000000000
2012-01-20,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",HSBC NORTH AMERICA HOLDINGS INC.,MI,48320.0,,Web,1/25/12,Closed with relief,Yes,No,15458,5 days 00:00:00.000000000
2012-01-17,Credit card,,Closing/Cancelling account,JPMORGAN CHASE & CO.,CT,6340.0,,Phone,1/20/12,Closed without relief,Yes,No,14053,3 days 00:00:00.000000000
2012-01-09,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",WELLS FARGO & COMPANY,WY,83014.0,,Postal mail,1/11/12,Closed without relief,Yes,No,11728,2 days 00:00:00.000000000
2012-01-01,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",JPMORGAN CHASE & CO.,CT,6333.0,,Web,1/03/12,Closed without relief,Yes,Yes,9031,2 days 00:00:00.000000000
2012-01-24,Mortgage,Other mortgage,"Loan servicing, payments, escrow account","CITIBANK, N.A.",NV,89031.0,,Referral,1/24/12,Closed without relief,No,No,16435,0 days 00:00:00.000000000
2012-01-31,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",JPMORGAN CHASE & CO.,WY,83101.0,,Web,2/02/12,Closed without relief,Yes,Yes,12607,2 days 00:00:00.000000000
2012-01-12,Mortgage,Other mortgage,"Application, originator, mortgage broker",Ditech Financial LLC,NV,89052.0,,Web,3/23/12,Closed without relief,Yes,No,12945,71 days 00:00:00.000000000
2012-01-26,Mortgage,Other mortgage,"Loan servicing, payments, escrow account","BANK OF AMERICA, NATIONAL ASSOCIATION",NV,89074.0,,Referral,1/26/12,Closed without relief,Yes,Yes,17207,0 days 00:00:00.000000000
2012-01-22,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,NV,89012.0,,Web,3/23/12,Closed without relief,Yes,No,15695,61 days 00:00:00.000000000
2012-01-24,Mortgage,Other mortgage,"Loan servicing, payments, escrow account","BANK OF AMERICA, NATIONAL ASSOCIATION",NV,89032.0,,Referral,1/24/12,Closed without relief,Yes,No,16115,0 days 00:00:00.000000000
2012-01-27,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure","SUNTRUST BANKS, INC.",NV,89012.0,,Web,1/27/12,Closed with relief,Yes,No,17909,0 days 00:00:00.000000000
2012-04-02,Credit card,,Overlimit fee,CAPITAL ONE FINANCIAL CORPORATION,NH,6320.0,,Referral,5/02/12,Closed without relief,Yes,No,27575,30 days 00:00:00.000000000
2012-01-06,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",JPMORGAN CHASE & CO.,NV,89074.0,Older American,Web,1/10/12,Closed without relief,Yes,Yes,10931,4 days 00:00:00.000000000
2012-01-19,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,NV,89015.0,,Web,3/23/12,Closed without relief,Yes,No,14985,64 days 00:00:00.000000000
2012-04-05,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",360 MORTGAGE GROUP LLC,TX,76210.0,,Referral,6/15/12,Closed with monetary relief,Yes,Yes,44332,71 days 00:00:00.000000000
2012-01-17,Credit card,,Credit line increase/decrease,"BANK OF AMERICA, NATIONAL ASSOCIATION",NC,28220.0,,Web,1/17/12,Closed,No,No,75420,0 days 00:00:00.000000000
2012-01-27,Credit card,,Identity theft / Fraud / Embezzlement,Comerica,MI,48198.0,Older American,Web,1/30/12,Closed with relief,No,No,18063,3 days 00:00:00.000000000
2012-01-26,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",JPMORGAN CHASE & CO.,CA,91030.0,,Referral,1/26/12,Closed with relief,Yes,No,17223,0 days 00:00:00.000000000
2012-04-21,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",NATIONSTAR MORTGAGE,NY,12563.0,,Referral,4/24/12,Closed without relief,Yes,Yes,81437,
2012-01-31,Credit card,,Billing disputes,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,8753.0,Servicemember,Phone,2/02/12,Closed without relief,Yes,No,19006,2 days 00:00:00.000000000
2012-01-31,Credit card,,Billing disputes,CAPITAL ONE FINANCIAL CORPORATION,FL,33716.0,Servicemember,Web,2/02/12,Closed with relief,Yes,No,19140,2 days 00:00:00.000000000
2012-01-30,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account","ONEMAIN FINANCIAL HOLDINGS, LLC.",OH,44691.0,,Web,5/02/12,Closed with relief,Yes,Yes,18297,93 days 00:00:00.000000000
2012-01-18,Credit card,,APR or interest rate,"CITIBANK, N.A.",IA,50310.0,,Web,1/19/12,Closed with relief,Yes,No,14781,1 days 00:00:00.000000000
2012-04-27,Credit card,,Identity theft / Fraud / Embezzlement,JPMORGAN CHASE & CO.,NY,11427.0,,Referral,4/27/12,Closed with relief,Yes,No,66908,0 days 00:00:00.000000000
2012-04-03,Consumer Loan,Vehicle loan,Managing the loan or lease,"CITIZENS FINANCIAL GROUP, INC.",MN,55432.0,,Web,4/05/12,Closed with relief,Yes,Yes,43835,2 days 00:00:00.000000000
2012-01-20,Mortgage,FHA mortgage,Settlement process and costs,"BANK OF AMERICA, NATIONAL ASSOCIATION",AL,36526.0,,Web,1/20/12,Closed with relief,Yes,No,15421,0 days 00:00:00.000000000
2012-01-20,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",OCWEN LOAN SERVICING LLC,MN,55912.0,,Referral,1/23/12,Closed without relief,Yes,Yes,15799,3 days 00:00:00.000000000
2012-01-06,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",HSBC NORTH AMERICA HOLDINGS INC.,GA,30907.0,,Web,1/09/12,Closed with relief,Yes,No,10480,3 days 00:00:00.000000000
2012-04-14,Credit card,,Billing disputes,"CITIBANK, N.A.",IL,60452.0,,Web,4/17/12,Closed with relief,Yes,No,58088,3 days 00:00:00.000000000
2012-04-11,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",JPMORGAN CHASE & CO.,NY,10974.0,,Postal mail,4/12/12,Closed without relief,Yes,Yes,55172,1 days 00:00:00.000000000
2012-01-25,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",BB&T CORPORATION,,,,Referral,4/12/12,Closed with relief,Yes,No,17232,78 days 00:00:00.000000000
2012-01-09,Credit card,,Identity theft / Fraud / Embezzlement,DISCOVER BANK,SD,57702.0,,Web,1/11/12,Closed with relief,Yes,No,11871,2 days 00:00:00.000000000
2012-04-20,Credit card,,Collection debt dispute,CAPITAL ONE FINANCIAL CORPORATION,MA,1876.0,,Web,4/24/12,Closed with relief,Yes,No,62567,4 days 00:00:00.000000000
2012-04-24,Consumer Loan,Vehicle loan,Managing the loan or lease,KEYCORP,NY,14094.0,,Referral,4/24/12,Closed with relief,Yes,No,64116,0 days 00:00:00.000000000
2012-01-31,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account","BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30087.0,,Web,2/01/12,Closed,No,No,18892,1 days 00:00:00.000000000
2012-01-09,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",PNC Bank N.A.,IL,60074.0,,Email,1/11/12,Closed with relief,Yes,No,11766,2 days 00:00:00.000000000
2012-02-18,Credit card,,Billing disputes,DISCOVER BANK,IN,47460.0,,Web,2/22/12,Closed with relief,Yes,No,24836,4 days 00:00:00.000000000
2012-04-03,Bank account or service,Checking account,Problems caused by my funds being low,BOK FINANCIAL CORP,OK,73157.0,,Phone,7/02/12,Closed with explanation,Yes,Yes,43737,90 days 00:00:00.000000000
2012-04-10,Credit card,,APR or interest rate,JPMORGAN CHASE & CO.,NC,28027.0,,Web,4/11/12,Closed with relief,Yes,No,53810,1 days 00:00:00.000000000
2012-01-07,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account","BANK OF AMERICA, NATIONAL ASSOCIATION",TN,38128.0,,Web,1/09/12,Closed,No,No,11239,2 days 00:00:00.000000000
2012-01-06,Credit card,,Cash advance fee,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,94621.0,,Phone,1/09/12,Closed,No,No,10889,3 days 00:00:00.000000000
2012-05-30,Credit card,,Identity theft / Fraud / Embezzlement,CAPITAL ONE FINANCIAL CORPORATION,MD,21826.0,,Referral,6/06/12,Closed with monetary relief,No,No,89164,7 days 00:00:00.000000000
2012-02-25,Credit card,,Identity theft / Fraud / Embezzlement,"CITIBANK, N.A.",CA,91344.0,,Referral,2/27/12,Closed with relief,Yes,No,27008,
2012-05-09,Bank account or service,Checking account,"Making/receiving payments, sending money",TCF NATIONAL BANK,MI,48152.0,,Phone,5/11/12,Closed with relief,Yes,No,74672,2 days 00:00:00.000000000
2012-02-07,Credit card,,Closing/Cancelling account,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,7753.0,,Referral,2/07/12,Closed,No,No,21269,0 days 00:00:00.000000000
2012-02-29,Credit card,,Identity theft / Fraud / Embezzlement,CAPITAL ONE FINANCIAL CORPORATION,NJ,8721.0,,Referral,2/29/12,Closed with relief,Yes,No,28547,0 days 00:00:00.000000000
2012-06-01,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",PHH Mortgage Services Corporation,CA,91436.0,"Older American, Servicemember",Web,6/04/12,Closed with monetary relief,Yes,No,91693,3 days 00:00:00.000000000
